,Species,"(0, 'go', 'reviewed')","(1, 'automatic', 'reviewed')","(1, 'manual', 'reviewed')"
320,Kitasatospora aureofaciens,19,8,0
321,Kitasatospora griseola,6,0,0
322,Kitasatospora kifunensis,1,0,0
323,Kitasatospora setae,2,0,0
324,Kocuria rhizophila,119,72,0
325,Kocuria rosea,1,0,0
326,Kocuria sp.,1,0,0
327,Kocuria varians,1,0,0
328,Kribbella flavida,12,0,0
329,Kutzneria sp.,2,0,0
330,Kyrpidia tusciae,3,0,0
331,Kytococcus sedentarius,2,0,0
332,Laceyella sacchari,2,0,0
333,Lachnoclostridium phytofermentans,213,100,0
334,Lachnospira eligens,94,46,0
335,Lachnospiraceae bacterium,2,2,0
336,Lacrimispora saccharolytica,2,0,0
337,Lacticaseibacillus casei,239,92,0
338,Lacticaseibacillus paracasei,238,102,0
339,Lacticaseibacillus rhamnosus,14,0,0
340,Lacticaseibacillus zeae,2,0,0
341,Lactiplantibacillus pentosus,9,0,0
342,Lactiplantibacillus plantarum,435,134,0
343,Lactobacillus acidophilus,235,110,0
344,Lactobacillus amylovorus,1,0,0
345,Lactobacillus crispatus,1,0,0
346,Lactobacillus delbrueckii,398,202,0
347,Lactobacillus gasseri,172,88,0
348,Lactobacillus helveticus,209,98,0
349,Lactobacillus jensenii,1,0,0
350,Lactobacillus johnsonii,242,110,0
351,Lactobacillus kefiranofaciens,2,0,0
352,Lactobacillus leichmannii,7,0,0
353,Lactobacillus sp.,3,0,0
354,Lactococcus garvieae,1,0,0
355,Lactococcus lactis,1207,366,0
356,Lactococcus sp,1,0,0
357,Lancefieldella parvula,2,0,0
358,Latilactobacillus curvatus,8,0,0
359,Latilactobacillus sakei,280,116,0
360,Lederbergia lenta,2,0,0
361,Leifsonia aquatica,1,0,0
362,Leifsonia xyli,230,110,0
363,Lentilactobacillus buchneri,4,0,0
364,Lentilactobacillus hilgardii,6,0,0
365,Lentilactobacillus kefiri,1,0,0
366,Lentzea aerocolonigenes,9,0,0
367,Leptolyngbya boryana,31,0,0
368,Leptolyngbya ectocarpi,1,0,0
369,Leuconostoc carnosum,1,0,0
370,Leuconostoc citreum,148,92,0
371,Leuconostoc gelidum,5,0,0
372,Leuconostoc kimchii,2,0,0
373,Leuconostoc lactis,3,2,0
374,Leuconostoc mesenteroides,207,102,0
375,Leuconostoc pseudomesenteroides,1,0,0
376,Leuconostoc sp.,1,0,0
377,Levilactobacillus brevis,209,116,0
378,Ligilactobacillus salivarius,222,122,0
379,Limnospira fusiformis,2,0,0
380,Limnospira maxima,4,0,0
381,Limosilactobacillus fermentum,188,94,0
382,Limosilactobacillus mucosae,1,0,0
383,Limosilactobacillus reuteri,393,202,0
384,Listeria grayi,3,0,0
385,Listeria innocua,534,142,0
386,Listeria ivanovii,9,0,0
387,Listeria monocytogenes,1665,456,30
388,Listeria seeligeri,6,2,0
389,Listeria welshimeri,351,120,0
390,Loofah witches'-broom,0,4,0
391,Lysinibacillus sphaericus,254,88,0
392,Macrococcus caseolyticus,179,78,0
393,Malacoplasma iowae,1,0,0
394,Malacoplasma penetrans,145,100,0
395,Mammaliicoccus lentus,1,0,0
396,Mammaliicoccus sciuri,3,2,0
397,Marinococcus halophilus,3,0,0
398,Mastigocladus laminosus,42,0,0
399,Megasphaera elsdenii,7,0,0
400,Meiothermus ruber,4,2,0
401,Melissococcus plutonius,1,0,0
402,Mesomycoplasma conjunctivae,3,0,0
403,Mesomycoplasma flocculare,1,2,0
404,Mesomycoplasma hyopneumoniae,253,260,0
405,Mesomycoplasma hyorhinis,13,2,0
406,Mesomycoplasma mobile,105,92,0
407,Mesoplasma florum,118,104,0
408,Metabacillus indicus,1,0,0
409,Metamycoplasma arthritidis,60,56,0
410,Metamycoplasma hominis,17,6,0
411,Metamycoplasma salivarium,1,0,0
412,Microbacterium ammoniaphilum,2,0,0
413,Microbacterium liquefaciens,1,0,0
414,Microbacterium luteolum,2,0,0
415,Microbacterium testaceum,3,0,0
416,Microbispora sp.,1,0,0
417,Microchaete diplosiphon,40,2,0
418,Micrococcus luteus,122,94,0
419,Micrococcus sp,2,0,0
420,Microcystis aeruginosa,275,96,0
421,Microcystis sp.,2,0,0
